sep=,
"Date",18 Aug 2025
"Trade",Long
"Number of stocks",24
"Begin",2008
"End",Last possible
"Max per sector",No maximum
"Rebalance timing",QUARTER[ACTUAL:2008:Q2] Q2
"Rebalance strategy",Keep Price > sma100
"Sell strategy",Stoploss 15%
"Position sizes",Volatility weighted. Maximal position.
"Compare to",GSPC

,,"Return","(Avg of) Period SD","Average beta","Top 12","Without outliers","Monte Carlo variant 1","Monte Carlo variant 2","Monte Carlo variant 3","Monte Carlo variant 4","Portfolio SD","Sharpe ratio","Sortini ratio","US S&P 500 - Total Return",
Total return,,666%,,,202%,700%,650%,692%,814%,644%,,,,559%,
Yearly return,,12.38%,15%,0.89,12.66%,6.55%,12.24%,12.59%,13.52%,12.19%,16%,0.60,1.27,11.41%,

2008 Q2,Stocks,,,,,,,,,,"MGNS.L","PETS","FFIV","AMSG","RECN","SLP","WIRE","COR","MTL.TO","EBAY","MSTR","TRMB","ZD","CMTL","GEN","CMG.TO","ANF","MHK","TED.L","RYA.IR","RTX","ADBE","TSCO","4704.T",,"US S&P 500 - Total Return",
,Positions,,,,,,,,,,3%,3%,2%,5%,3%,2%,4%,7%,4%,4%,4%,3%,3%,4%,5%,7%,4%,4%,6%,3%,7%,5%,3%,3%,
,Quarter return,3.22%,17%,0.95,4.78%,2.12%,5.07%,2.77%,4.53%,3.22%,-15.00%,6.71%,53.46%,2.40%,13.75%,-15.00%,13.42%,-2.53%,22.55%,-10.33%,-14.09%,28.19%,1.64%,25.19%,14.23%,25.25%,-15.00%,-11.46%,-1.53%,-1.75%,-10.22%,7.74%,-15.00%,-8.61%,,-5.72%,
2008 Q3,Stocks,,,,,,,,,,"FFIV","RECN","WIRE","MTL.TO","TRMB","CMTL","GEN","CMG.TO","ADBE","MGNS.L","BMS.L","PETS","AMSG","MNST","SLP","COR","EBAY","MSTR","ZD","MCRI","ANF","MHK","TED.L","TSCO",,"US S&P 500 - Total Return",
,Positions,,,,,,,,,,3%,3%,3%,5%,3%,5%,4%,4%,5%,4%,4%,4%,5%,2%,2%,7%,5%,3%,5%,3%,5%,5%,6%,4%,
,Quarter return,-3.58%,16%,0.97,-5.07%,-7.39%,-1.88%,-5.63%,-3.33%,-3.25%,-15.00%,12.09%,-15.00%,-15.00%,-15.00%,-15.00%,1.66%,-4.00%,0.61%,-15.00%,-15.00%,29.11%,4.81%,-15.00%,-15.00%,-3.84%,-15.00%,-15.00%,2.64%,-3.31%,-15.00%,6.48%,-15.00%,46.67%,,-9.14%,
2008 Q4,Stocks,,,,,,,,,,"RECN","PETS","TSCO","MGNS.L","BMS.L","FFIV","AMSG","SLP","EBAY","WIRE","COR","MTL.TO","MSTR","ANF","TRMB","ZD","MCRI","TED.L","MHK","CMG.TO","LOGN.SW","RTX","CMTL","ADBE",,"US S&P 500 - Total Return",
,Positions,,,,,,,,,,3%,4%,4%,3%,3%,3%,7%,3%,3%,4%,7%,4%,5%,3%,4%,4%,2%,9%,4%,4%,5%,5%,4%,4%,
,Quarter return,-14.00%,7%,1.02,-12.87%,-15.00%,-13.55%,-13.89%,-13.89%,-13.93%,-15.00%,-15.00%,-15.00%,21.81%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,-15.00%,,-19.11%,
2009 Q1,Stocks,,,,,,,,,,"MGNS.L","BMS.L","KLR.L","EBAY","SLP","MTL.TO","ANF","MSTR","EVS.BR","OSPN","WIRE","FFIV","TRMB","TPR","ZD","HPS-A.TO","TED.L","ADBE","URBN","CMG.TO","CPSI","4704.T","ORCL","CMTL",,"US S&P 500 - Total Return",
