sep=,
"Date",18 Aug 2025
"Trade",Long
"Number of stocks",24
"Begin",2008
"End",Last possible
"Max per sector",No maximum
"Rebalance timing",QUARTER[ACTUAL:2008:Q2] Q2
"Rebalance strategy",Full rebalance
"Sell strategy",Keep full period
"Position sizes",Equal position. Maximal position.
"Compare to",GSPC

,,"Return","(Avg of) Period SD","Average beta","Top 12","Without outliers","Monte Carlo variant 1","Monte Carlo variant 2","Monte Carlo variant 3","Monte Carlo variant 4","Portfolio SD","Sharpe ratio","Sortini ratio","US S&P 500 - Total Return",
Total return,,1051%,,,533%,1171%,789%,1281%,1298%,1107%,,,,560%,
Yearly return,,15.03%,18%,0.84,15.68%,11.15%,13.34%,16.24%,16.32%,15.34%,19%,0.66,1.24,11.42%,

2008 Q2,Stocks,,,,,,,,,,"REY.MI","BDT.DE","9946.T","6914.T","BYW6.DE","3395.T","6965.T","A3M.MC","ADEA","ADZ.MC","6101.T","6481.T","2685.T","6345.T","6908.T","HTLD","7296.T","KOMN.SW","ROCK-B.CO","6718.T","NVLS1","SMMX","PRDO","6482.T",,"US S&P 500 - Total Return",
,Quarter return,1.19%,19%,0.88,0.44%,1.74%,4.14%,0.38%,2.37%,1.62%,-8.60%,5.38%,15.52%,4.62%,9.83%,34.30%,-0.51%,-39.33%,-22.49%,-26.43%,12.68%,20.32%,-33.19%,0.81%,11.34%,6.86%,31.98%,-10.23%,-22.11%,13.43%,-0.70%,-8.74%,13.52%,20.30%,,-5.72%,
2008 Q3,Stocks,,,,,,,,,,"ADEA","9946.T","6914.T","A3M.MC","BYW6.DE","2685.T","3395.T","6965.T","6345.T","ROCK-B.CO","2792.T","KOMN.SW","5541.T","JM.ST","HTLD","CBK","OBEL.BR","6481.T","SMMX","NVLS1","7296.T","CHS","COLM","PSUNQ",,"US S&P 500 - Total Return",
,Quarter return,-10.89%,23%,0.97,-19.04%,-11.43%,-5.90%,-14.34%,-12.07%,-10.82%,2.06%,-14.18%,-32.53%,1.21%,-51.67%,32.34%,-27.60%,-7.23%,-43.64%,-26.66%,-51.48%,-9.07%,-12.05%,-28.31%,7.80%,13.29%,-1.39%,-22.37%,38.03%,-7.36%,-16.11%,3.21%,15.58%,-23.23%,,-9.14%,
2008 Q4,Stocks,,,,,,,,,,"BYW6.DE","6914.T","ADEA","9946.T","6345.T","3395.T","A3M.MC","ROCK-B.CO","6965.T","2685.T","JM.ST","9682.T","6481.T","KOMN.SW","5541.T","PSUNQ","WINS1","7296.T","4626.T","6482.T","HTLD","OBEL.BR","NVLS1","CBK",,"US S&P 500 - Total Return",
,Quarter return,-17.94%,35%,0.92,-13.95%,-21.46%,-24.41%,-17.44%,-16.52%,-18.53%,25.42%,-18.54%,-26.30%,-2.84%,-14.81%,-16.16%,-15.92%,-34.64%,-33.97%,19.81%,-24.42%,-25.07%,-42.08%,-55.85%,-39.27%,-76.30%,105%,-43.30%,-7.06%,-53.54%,5.71%,5.35%,-37.17%,-24.93%,,-19.11%,
2009 Q1,Stocks,,,,,,,,,,"BDT.DE","6914.T","4971.T","6345.T","ADEA","6482.T","SEM.VI","6965.T","KOMN.SW","BEN.PA","6151.T","3395.T","6481.T","A3M.MC","DNORD.CO","IGO.AX","5541.T","ROCK-B.CO","BMY.L","9682.T","7296.T","JM.ST","VCT.PA","NVLS1",,"US S&P 500 - Total Return",
,Quarter return,5.78%,21%,1.08,6.99%,5.37%,6.75%,5.17%,7.94%,6.25%,-22.09%,3.86%,28.35%,17.63%,13.02%,42.05%,23.65%,8.60%,-12.98%,-6.77%,-4.36%,-7.11%,42.96%,-26.63%,-11.81%,19.54%,-1.98%,15.64%,-27.09%,-22.89%,35.82%,5.51%,-9.83%,35.64%,,-13.74%,
2009 Q2,Stocks,,,,,,,,,,"BDT.DE","KOMN.SW","BEN.PA","6151.T","3395.T","DNORD.CO","SEM.VI","6345.T","6965.T","ADEA","9682.T","5541.T","VCT.PA","6482.T","JM.ST","USAP","BEAN.SW","IGO.AX","SMMX","7718.T","6857.T","7296.T","2685.T","CKN.L",,"US S&P 500 - Total Return",
,Quarter return,32.90%,24%,1.08,33.27%,30.66%,34.23%,33.62%,31.97%,29.26%,9.92%,22.48%,28.86%,27.91%,23.24%,15.61%,34.95%,12.90%,0.69%,91.45%,58.24%,72.93%,24.06%,16.34%,17.47%,71.62%,33.19%,81.32%,44.19%,2.95%,19.97%,34.17%,15.15%,30.08%,,15.92%,
2009 Q3,Stocks,,,,,,,,,,"KOMN.SW","6965.T","3395.T","BEN.PA","KOF.PA","DNORD.CO","SEM.VI","6345.T","2651.T","VCT.PA","JM.ST","9682.T","TGT.DE","7718.T","BEAN.SW","MVV1.DE","2685.T","6481.T","IFCN.SW","CRDN","HTLD","SMMX","4732.T","6103.T",,"US S&P 500 - Total Return",
,Quarter return,17.00%,25%,0.91,25.44%,13.88%,20.73%,15.84%,16.84%,14.34%,37.50%,16.84%,-5.00%,46.16%,89.47%,5.61%,37.09%,2.00%,-2.11%,29.08%,64.55%,-15.93%,16.35%,-7.61%,6.83%,0.36%,8.85%,23.03%,41.59%,2.75%,-3.03%,2.15%,9.36%,2.19%,,15.58%,
2009 Q4,Stocks,,,,,,,,,,"BDT.DE","3395.T","6914.T","6965.T","DNORD.CO","6345.T","KOMN.SW","7718.T","9682.T","2651.T","BEN.PA","ELG.DE","SEM.VI","KOF.PA","VCT.PA","MVV1.DE","BEAN.SW","4966.T","2685.T","HTLD","CRDN","SMMX","6103.T","5541.T",,"US S&P 500 - Total Return",
,Quarter return,0.17%,15%,0.95,1.13%,-0.55%,0.63%,-1.28%,4.17%,0.28%,22.78%,-10.21%,-23.86%,4.68%,12.03%,-20.22%,-6.57%,-3.23%,8.01%,-0.73%,-8.67%,39.58%,4.64%,-21.20%,13.36%,0.55%,14.63%,-23.32%,-12.63%,6.92%,4.97%,-9.69%,11.10%,1.18%,,7.76%,
2010 Q1,Stocks,,,,,,,,,,"BDT.DE","VET.SW","6345.T","3395.T","KOF.PA","4739.T","7545.T","KOMN.SW","7718.T","SEM.VI","AAD.DE","2651.T","5440.T","DNORD.CO","JAKK","2685.T","TGT.DE","ADEA","BEAN.SW","CRDN","5541.T","6481.T","HTLD","4732.T",,"US S&P 500 - Total Return",
,Quarter return,13.22%,10%,0.91,16.71%,13.64%,11.69%,13.85%,14.21%,13.09%,18.49%,13.16%,17.44%,26.39%,1.19%,23.90%,19.52%,24.18%,35.41%,7.01%,17.45%,-3.62%,15.50%,9.86%,6.51%,6.83%,5.01%,-13.78%,16.52%,17.43%,11.31%,25.31%,4.96%,11.26%,,3.80%,
2010 Q2,Stocks,,,,,,,,,,"6459.T","VET.SW","BDT.DE","6345.T","3395.T","ADEA","4739.T","7545.T","USNA","2651.T","DRX.L","5440.T","AAD.DE","2685.T","IQNT","BEAN.SW","DNORD.CO","THEP.PA","5541.T","HHFA.DE","4732.T","EPAX","JAKK","VAN.BR",,"US S&P 500 - Total Return",
,Quarter return,-5.22%,13%,0.84,-3.74%,-5.08%,-5.53%,-4.38%,-6.81%,-5.40%,-9.08%,-8.63%,12.97%,-10.25%,12.26%,-21.01%,7.96%,-15.99%,15.97%,-3.96%,0.64%,-25.76%,16.20%,-16.64%,-30.09%,-4.81%,-12.52%,-9.99%,-22.52%,-6.87%,0.41%,1.70%,9.69%,-4.96%,,-11.50%,
2010 Q3,Stocks,,,,,,,,,,"6459.T","ADEA","IQNT","VET.SW","BDT.DE","7545.T","3395.T","4739.T","2685.T","DRX.L","USNA","DNORD.CO","OPAP.AT","AAD.DE","BEAN.SW","HHFA.DE","AEO","VAN.BR","EPAX","PRO","KTCG.VI","CRDN","CRAI","4708.T",,"US S&P 500 - Total Return",
,Quarter return,9.62%,17%,0.91,2.24%,8.51%,6.27%,12.20%,6.93%,10.22%,-4.61%,15.34%,6.99%,-11.60%,51.26%,-4.98%,-9.85%,-14.28%,-18.20%,3.15%,10.55%,3.15%,17.83%,19.49%,27.31%,10.75%,28.72%,13.05%,1.33%,41.90%,32.83%,9.62%,-4.45%,5.64%,,11.42%,
2010 Q4,Stocks,,,,,,,,,,"6459.T","VET.SW","ADEA","IQNT","7545.T","3395.T","2685.T","4739.T","BDT.DE","BIJ.DE","DRX.L","USNA","DNORD.CO","OPAP.AT","AAD.DE","HHFA.DE","BEAN.SW","CMTL","EPAX","CRAI","VAN.BR","CRDN","4708.T","AEO",,"US S&P 500 - Total Return",
,Quarter return,11.08%,10%,0.82,10.74%,10.72%,11.61%,10.64%,11.34%,12.30%,3.62%,10.94%,18.83%,19.64%,1.08%,8.68%,16.34%,12.73%,27.35%,6.51%,-4.36%,7.52%,-6.47%,15.97%,17.04%,21.23%,6.85%,0.24%,1.67%,28.82%,13.66%,33.55%,7.25%,-2.84%,,10.72%,
2011 Q1,Stocks,,,,,,,,,,"6459.T","REY.MI","SSL.MI","VETN.SW","7545.T","ADEA","3395.T","2685.T","4739.T","DRX.L","BDT.DE","BIJ.DE","USNA","6730.T","CMTL","BEAN.SW","AAD.DE","EPAX","HHFA.DE","IQNT","AEO","GEO.MI","ALNTG.PA","SIM.CO",,"US S&P 500 - Total Return",
,Quarter return,-1.46%,13%,0.79,-6.68%,-1.89%,1.02%,-1.25%,-0.89%,-0.18%,5.93%,5.66%,-26.72%,7.84%,-14.13%,-18.26%,-9.26%,-1.54%,-11.26%,6.26%,-15.56%,-9.16%,-20.76%,-10.55%,-2.02%,20.16%,14.97%,-4.18%,-6.22%,1.30%,9.83%,30.14%,13.71%,-1.10%,,5.84%,
2011 Q2,Stocks,,,,,,,,,,"ADEA","SSL.MI","UHRN.SW","7545.T","ATE.PA","METN.SW","3395.T","REY.MI","2685.T","4739.T","BDT.DE","USNA","KOMN.SW","DRX.L","6730.T","S188.DE","SEM.VI","CMTL","NXI.PA","IQNT","WITH.HE","DNORD.CO","4708.T","ALNTG.PA",,"US S&P 500 - Total Return",
,Quarter return,-0.62%,10%,0.80,-0.48%,-1.35%,0.78%,-1.45%,1.09%,-0.58%,-6.24%,-12.29%,3.34%,0.22%,3.60%,0.55%,-0.57%,-2.27%,0.14%,6.55%,10.77%,-9.60%,-7.45%,26.02%,-12.34%,-7.40%,-15.96%,2.22%,-4.73%,17.94%,5.81%,-3.22%,-15.87%,5.84%,,0.10%,
2011 Q3,Stocks,,,,,,,,,,"ADEA","UHRN.SW","ATE.PA","3395.T","METN.SW","2685.T","USNA","BDT.DE","KOMN.SW","SEM.VI","CMTL","S188.DE","DRX.L","NXI.PA","OPAP.AT","4708.T","DNORD.CO","WITH.HE","CVVT","ALNTG.PA","BEAN.SW","IQNT","HNL.DE","NTRI",,"US S&P 500 - Total Return",
,Quarter return,-16.74%,16%,0.82,-14.50%,-17.84%,-17.15%,-15.95%,-16.92%,-15.98%,-30.54%,-26.91%,-25.02%,3.23%,-13.34%,18.03%,-12.67%,-31.08%,-34.35%,-12.18%,-0.04%,-9.08%,-5.33%,-35.45%,-25.65%,17.13%,-13.68%,-19.22%,-31.80%,-17.69%,-11.32%,-44.75%,-27.94%,-12.19%,,-13.88%,
2011 Q4,Stocks,,,,,,,,,,"ADEA","UHRN.SW","ATE.PA","METN.SW","3395.T","KOMN.SW","BDT.DE","USNA","IQNT","2685.T","NXI.PA","CMTL","SEM.VI","OPAP.AT","S188.DE","DRX.L","CVVT","DNORD.CO","ALNTG.PA","PETS","HNL.DE","ERA.PA","AAD.DE","BEAN.SW",,"US S&P 500 - Total Return",
,Quarter return,5.07%,15%,0.93,9.31%,3.39%,4.59%,4.80%,4.86%,5.29%,41.95%,16.51%,-7.92%,7.87%,-1.73%,9.92%,44.57%,11.45%,11.57%,-12.93%,-11.55%,2.00%,-0.39%,-2.53%,14.67%,15.36%,-4.48%,-10.39%,-19.64%,17.83%,-4.97%,-6.91%,6.16%,5.38%,,11.84%,
2012 Q1,Stocks,,,,,,,,,,"ADEA","ATE.PA","UHRN.SW","3395.T","NXI.PA","LIWA","2685.T","METN.SW","KOMN.SW","USNA","ALNTG.PA","CMTL","SEM.VI","BDT.DE","IQNT","OPAP.AT","DRX.L","S188.DE","DNORD.CO","PARRO.PA","GEO.MI","4708.T","ERA.PA","BEAN.SW",,"US S&P 500 - Total Return",
,Quarter return,14.14%,11%,0.83,17.47%,13.66%,14.47%,13.56%,12.80%,15.58%,0.82%,32.50%,14.11%,11.45%,35.54%,19.95%,-5.66%,0.02%,37.94%,21.75%,26.79%,14.38%,7.28%,10.98%,11.24%,9.32%,-1.61%,6.87%,21.35%,19.37%,13.79%,15.36%,12.16%,3.70%,,12.59%,
2012 Q2,Stocks,,,,,,,,,,"2497.T","ATE.PA","UHRN.SW","3395.T","2674.T","2685.T","METN.SW","LIWA","USNA","IQNT","CMTL","SEM.VI","BDT.DE","ALNTG.PA","HNL.DE","DRX.L","S188.DE","PARRO.PA","GSIT","BEAN.SW","4708.T","MUB.DE","NPK","DNORD.CO",,"US S&P 500 - Total Return",
,Quarter return,-5.34%,10%,0.74,-7.34%,-5.42%,-8.34%,-5.00%,-4.90%,-4.30%,-22.04%,-7.88%,-9.40%,-7.78%,-19.49%,-9.90%,-2.70%,-4.90%,10.15%,8.04%,-11.45%,-10.70%,4.44%,-5.00%,-21.96%,2.02%,-13.79%,11.99%,12.06%,-4.94%,0.41%,-11.22%,-7.22%,-7.00%,,-2.74%,
2012 Q3,Stocks,,,,,,,,,,"UHRN.SW","ATE.PA","2685.T","3395.T","BB.TO","2674.T","METN.SW","LIWA","CMTL","USNA","SEM.VI","IQNT","NEM.DE","BDT.DE","ALNTG.PA","S188.DE","DRX.L","BEAN.SW","PARRO.PA","CG.TO","NPK","4708.T","THEP.PA","DNORD.CO",,"US S&P 500 - Total Return",
,Quarter return,3.83%,19%,0.77,-4.27%,2.54%,3.70%,5.19%,4.96%,-0.75%,-0.61%,14.65%,1.25%,-1.95%,-0.13%,-1.43%,-16.91%,-34.18%,-1.89%,12.79%,5.91%,-28.70%,16.44%,-2.36%,1.15%,13.74%,-9.77%,3.57%,5.37%,64.59%,5.28%,39.39%,6.90%,-1.21%,,6.35%,
2012 Q4,Stocks,,,,,,,,,,"LIWA","UHRN.SW","ATE.PA","3395.T","2685.T","METN.SW","BB.TO","IQNT","USNA","SEM.VI","BDT.DE","ZVO","NEM.DE","DRX.L","S188.DE","BEAN.SW","PETS","PARRO.PA","ADTN","ATGE","DNORD.CO","NPK","9793.T","4668.T",,"US S&P 500 - Total Return",
,Quarter return,6.11%,20%,0.81,6.03%,7.06%,6.36%,6.71%,7.51%,3.44%,22.15%,21.17%,5.66%,5.72%,7.42%,0.01%,57.33%,-55.87%,-29.14%,4.17%,33.23%,0.49%,-0.38%,7.84%,-9.42%,7.03%,11.09%,18.40%,15.47%,3.89%,6.25%,-5.00%,-0.50%,19.67%,,-0.39%,
2013 Q1,Stocks,,,,,,,,,,"LIWA","METN.SW","ATE.PA","IQNT","3395.T","2685.T","USNA","TNAV","3076.T","ALCIS.PA","ZVO","NEM.DE","SEM.VI","DRX.L","S188.DE","DNORD.CO","BEAN.SW","CTCM","SIPH.PA","THEP.PA","9793.T","NPK","ADTN","DLB",,"US S&P 500 - Total Return",
,Quarter return,18.89%,19%,0.68,21.75%,19.05%,15.83%,22.80%,16.94%,19.79%,13.78%,14.69%,19.12%,12.75%,46.07%,48.02%,41.61%,-20.17%,43.81%,-1.30%,-2.48%,45.16%,-5.28%,11.70%,18.09%,14.51%,24.93%,49.75%,7.94%,10.91%,33.03%,15.98%,-1.25%,11.98%,,10.61%,
2013 Q2,Stocks,,,,,,,,,,"LIWA","METN.SW","TNAV","IQNT","ATE.PA","GEA.PA","3395.T","2674.T","USNA","2685.T","ALCIS.PA","ZVO","4298.T","WITH.HE","RPS.L","3076.T","S188.DE","ITP.PA","3302.T","YONG","DRX.L","AVAV","THEP.PA","SIPH.PA",,"US S&P 500 - Total Return",
,Quarter return,4.69%,30%,0.59,12.97%,-1.03%,6.02%,4.87%,6.08%,5.20%,-6.78%,-3.60%,-19.54%,128%,-14.17%,-10.66%,2.61%,10.67%,49.45%,4.24%,-4.72%,20.47%,-11.46%,26.62%,-24.42%,0.92%,-5.67%,0.56%,-19.31%,1.69%,-5.27%,11.31%,-3.60%,-14.43%,,3.13%,
2013 Q3,Stocks,,,,,,,,,,"LIWA","TNAV","METN.SW","ATE.PA","4628.T","3395.T","2685.T","LYL.AX","4298.T","RPS.L","2674.T","CG.TO","ZVO","USNA","WITH.HE","3302.T","3076.T","IQNT","S188.DE","HOC.L","ITP.PA","YONG","DRX.L","SIPH.PA",,"US S&P 500 - Total Return",
,Quarter return,16.99%,16%,0.62,14.37%,15.50%,11.27%,18.08%,17.68%,16.30%,2.68%,12.09%,3.00%,21.76%,19.49%,11.01%,-1.26%,10.30%,10.86%,32.03%,9.90%,40.58%,47.03%,19.33%,-11.47%,16.00%,32.54%,65.13%,-2.94%,13.97%,16.34%,15.37%,16.78%,7.15%,,5.08%,
2013 Q4,Stocks,,,,,,,,,,"LIWA","TNAV","METN.SW","ATE.PA","2685.T","3395.T","4298.T","WITH.HE","RPS.L","USNA","CG.TO","3076.T","SIPH.PA","HOC.L","YONG","ZVO","DRX.L","ITP.PA","VAN.BR","AFAM","SIP.BR","4708.T","CTCM","OSPN",,"US S&P 500 - Total Return",
